Category,Device Type,Parameter 1 Name,Parameter 1 Type,Parameter 1 Description,Parameter 2 Name,Parameter 2 Type,Parameter 2 Description,Parameter 3 Name,Parameter 3 Type,Parameter 3 Description,Parameter 4 Name,Parameter 4 Type,Parameter 4 Description,Parameter 5 Name,Parameter 5 Type,Parameter 5 Description
Climate Control & Energy,Smart Air Conditioner,Target Temperature,Numeric (16°C - 30°C),The desired room temperature setpoint.,Operation Mode,"Categorical (Cool, Heat, Fan, Dry, Auto)",The active operating mode of the HVAC unit.,Fan Speed,"Categorical (Low, Med, High, Auto)",Speed of the blower fan.,Swing/Vane Direction,"Categorical (Stationary, Vert, Horiz)",Direction of airflow from the vents.,,,
Climate Control & Energy,Smart Plug / Outlet,Switch State,Binary (On/Off),Controls power delivery to the attached appliance.,,,,,,,,,,,,
Kitchen & Laundry,Smart Refrigerator,Zone Target Temp,Numeric (°C or °F),Setpoints for fridge and freezer compartments.,Ice Maker State,"Categorical (On, Off, Crushed, Cubed)",Ice dispenser operation mode.,,,,,,,,,
Kitchen & Laundry,Smart Washer / Dryer,Cycle Selection,"Categorical (Normal, Delicates, Heavy Duty)",Wash or dry mode selection.,,,,,,,,,,,,
Lighting & Ambience,Smart Blinds / Shades,Open/Close Percentage,Percentage (0% - 100%),Sets how far the blinds are drawn.,Tilt Angle,Degrees (0° - 180°),Adjusts the angle of the slats to let in light.,,,,,,,,,
Lighting & Ambience,Smart LED Bulb,Power State,Binary (On/Off),Turns the light on or off.,Brightness,Percentage (0% - 100%),Controls the intensity of the light.,Color Temperature,Integer (2000K - 6500K),Adjusts the warmth or coolness of the white light.,RGB Color,Hue/Saturation or Hex,Sets specific colors for RGB capable bulbs.,Effects/Scenes,"Categorical (Reading, Party, etc.)",Pre-programmed dynamic lighting transitions.
Media & Entertainment,Smart Speaker / Receiver,Playback State,"Command (Play, Pause, Stop, Next)",Media control commands.,Volume Level,Integer (0 - 100),Audio output loudness.,Mute State,Binary (True/False),Instantly silences the audio output.,Active Source,"String (Spotify, HDMI 1, Bluetooth)",Input source for audio or video.,,,
Outdoor & Energy Management,EV Charger,Charge Current Limit,"Amperes (e.g., 16A, 32A)",Max electrical draw allowed for vehicle charging.,,,,,,,,,,,,
Outdoor & Energy Management,Smart Irrigation Controller,Zone 1 State,Binary (Watering/Idle),Valve control for specific garden sprinkler zones.,Run Duration,Minutes,Timer setting for how long the water valve stays open.,Weather Skip,Binary (Enabled/Disabled),Suspends schedules if local rain is forecasted.,,,,,,
Security & Access,Security Camera,Privacy Mode,Binary (Enabled/Disabled),Turns off the camera lens or cuts power.,Motion Sensitivity,"Categorical (Low, Med, High)",Threshold for triggering motion alerts and recording.,PTZ (Pan-Tilt-Zoom),Coordinates/Scale Factor,Adjusts the physical or digital framing of the lens.,,,,,,
Security & Access,Smart Door Lock,Lock State,Binary (Locked/Unlocked),Engages or disengages the deadbolt.,Auto-Lock Timer,Duration (Seconds/Minutes),Time before the door locks itself automatically.,Access Credentials,String/Digital Key,Adding or scheduling digital keys and PIN codes.,,,,,,
Smart Appliances,Robot Vacuum,Cleaning State,"Categorical/Command (Clean, Pause, Dock)",Current operational command.,Suction Power,"Categorical (Quiet, Standard, Max, Turbo)",Intensity of the vacuum motor.,Water Flow Rate,"Categorical (Low, Med, High)",Mopping water distribution rate.,,,,,,
Comfort & Climate,Smart Ceiling Fan,Power State,Binary (On/Off),Turns the ceiling fan on or off.,Fan Speed,"Categorical (Low, Med, High)",Sets the fan rotation speed.,,,,,,,,,
